worldName,rightAnswer,wrongAnswer1,wrongAnswer2,wrongAnswer3,dir,img
Inside Corbit ,Ethernet Cable,Robotic Snake,Fiber Optic Line,Ice Sculpture,Ethernet Cable,Ethernet Cable.jpg
Inside Corbit ,Computer Chip,Copper Forest,Dog Fur Brush,Old Switchboard,Chip,Chip.jpg
Inside Corbit ,Server Farm ,Air Purifier,Space Dock,Laser,Server farm,Server farm.jpg
Inside Corbit ,Data Cable,Cybernetic Hair,Power Station,Fire Hose,Wires,Wires.jpg
Inside Corbit ,Wire Rope,Chainmail Armor,Silver Snake,Itchy Underwear,Metallic Rope,Metallic Rope.jpg
Inside Corbit ,Speaker Grill,Hornet Nest,Black Diamond,Fly Eyeball,Speaker,Speaker.jpg
Inside Corbit ,Watch Gears,Metal Saw,Tractor Engine,Old Calculator,Gold Gear,Gold Gear.jpg
Inside Corbit ,Motherboard,Solar Panel,Hard Drive,Code Breaker,CPU,CPU.jpg
Ocean ,Otter,River Weeds,Baby Porcupine,Whale Whiskers,Otter,Otter.jpg
Ocean ,Turtle ,Cave Paintings,Aquatic Snail,Ocean Crystal,Turtle,Turtle.jpg
Ocean ,Whale ,Mussel Shell,Underwater Vent,Sea Mushrooms,Whale,Whale.jpg
Ocean ,Anemone ,Sea Raspberries,Balloonfish,Seaweed,Anemone,Anemone.jpg
Ocean ,Kelp,Leafy Sea Dragon,Eel Eggs,Brain Weed,Kelp,Kelp.jpg
Ocean ,Starfish ,Flower Pollen,Himalayan Salt ,Warty Blue Toad,Starfish,Starfish.jpg
Ocean ,Coral ,Millipede Nest,Human Brain,Sea Worms,Coral,Coral.jpg
Ocean ,Angelfish ,Glowing Tide,Poisonous Frog,Peacock,Angelfish,Angelfish.jpg
Caves,Stalactites,Arctic Jellies,Ice Core,Shattered Glass,Stalactites,Stalactites.jpg
Caves,Tiger Eye Stone,Brazilian Wood,Old Cheese,Green Slime Mold,Tiger Eye Stone,Tiger Eye Stone.jpg
Caves,Volcanic Rock ,Brownie,Cocoa Bean,Rust,Volcanic Rock,Volcanic Rock.jpg
Caves,Strata ,Ancient Book,Bacon Strip,Dry River Bed,Strata,Strata.jpg
Caves,Sandstone Canyon,Candy Corn,Mushroom Stalk,Flamingo,Antelope Canyon,Antelope Canyon.jpg
Caves,Marble,Ant Farm,French Cheese,Sand,Marble,Marble.jpg
Caves,Cave Painting ,Lava Trail,Bat Droppings,Rotten Carrot,Cave Painting,Cave Painting.jpg
Caves,Geode ,Distant Galaxy,Icicles,Rock Candy,Geode,Geode.jpg
Atmosphere ,Salt Flat,Bread Mold,Frost,Sheepskin Rug,Salt Flat,Salt Flat.jpg
Atmosphere ,Ice Crystal ,Diamond Shards,Recycled Glass,Clingfilm,Ice Crystal,Ice Crystal.jpg
Atmosphere ,Desert Sand,Bread,Siberian Tiger,Burned Field,Desert Sand,Desert Sand.jpg
Atmosphere ,Duck,Mackerel Bass,Seal Pile,Platypus,Duck,Duck.jpg
Atmosphere ,Plane,Antique Decoder,Sewing Machine,Armored Truck,Plane,Plane.jpg
Atmosphere ,Owl,Fungal Infection,Cow Hide,Kudu Horn,Owl,Owl.jpg
Atmosphere ,Glacier ,Snow Cone,Ice Cube,Aquamarine Gem,Glacier,Glacier.jpg
Atmosphere ,Light Prism ,Gummy Bears,Tropical Parrot,Sunset,Rainbow,Rainbow.jpg
